ProjectName,RelativePath,ProductArea,OutputType,TargetFramework,DependsOnCount,UsedByCount_WithinRepo,PackageReferenceCount
MedStreaming.Analytics.UnitTesting,MedStreaming.Analytics\MedStreaming.Analytics.UnitTestingPlatform\MedStreaming.Analytics.UnitTesting\MedStreaming.Analytics.UnitTesting.csproj,MedStreaming.Analytics,Library,v4.6,1,1,0
MedStreaming.Analytics.UnitTestingPlatform,MedStreaming.Analytics\MedStreaming.Analytics.UnitTestingPlatform\MedStreaming.Analytics.UnitTestingPlatform\MedStreaming.Analytics.UnitTestingPlatform.csproj,MedStreaming.Analytics,WinExe,v4.6.1,2,0,0
MedStreaming.Analytics.UnitTestingPlatformlog,MedStreaming.Analytics\MedStreaming.Analytics.UnitTestingPlatform\MedStreaming.Analytics.UnitTestingPlatformlog\MedStreaming.Analytics.UnitTestingPlatformlog.csproj,MedStreaming.Analytics,Library,v4.5.2,0,2,0
MedStreaming.Analytics.ViewModel,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\MedStreaming.Analytics.ViewModel\MedStreaming.Analytics.ViewModel.csproj,MedStreaming.Analytics,Library,v4.0,2,1,0
MedStreaming.Analytics.WebService,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\MedStreaming.Analytics.WebService\MedStreaming.Analytics.WebService.csproj,MedStreaming.Analytics,Library,v4.0,1,0,0
MedStreaming.Analytics.WindowsGallery,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\MedStreaming.Analytics.WindowsGallery\MedStreaming.Analytics.WindowsGallery.csproj,MedStreaming.Analytics,WinExe,v4.0,2,0,0
MedStreaming.ExcelView,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\MedStreaming.ExcelView\MedStreaming.ExcelView.csproj,MedStreaming.Analytics,WinExe,v4.0,0,0,0
MedStreaming.PatMan,MedStreaming.Analytics\ProtoTypes\Sample\MedStreaming.PatMan\MedStreaming.PatMan.csproj,MedStreaming.Analytics,Library,v4.5.1,1,1,0
MedStreaming.Plugin.Arc,MedStreaming.Analytics\ProtoTypes\Sample\MedStreaming.Plugin.Arc\MedStreaming.Plugin.Arc.csproj,MedStreaming.Analytics,Library,v4.5.1,0,4,0
MedStreaming.Plugin.Arc,MedStreaming.Analytics\ProtoTypes\WebMDX\MedStreaming.Plugin.Arc\MedStreaming.Plugin.Arc.csproj,MedStreaming.Analytics,Library,v4.0,0,12,0
MedStreaming.Token,MedStreaming.Analytics\Token Manager\MedStreaming.Token\MedStreaming.Token.csproj,MedStreaming.Analytics,Library,v4.8,0,1,0
MedStreaming.Token.Test,MedStreaming.Analytics\Token Manager\MedStreaming.Token.Test\MedStreaming.Token.Test.csproj,MedStreaming.Analytics,Library,v4.5,1,0,0
MedStreaming.WIX.Generator,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\MedStreaming.WIX.Generator\MedStreaming.WIX.Generator.csproj,MedStreaming.Analytics,WinExe,v4.0,0,0,0
MedStreaming.WebLogger,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\MedStreaming.WebLogger\MedStreaming.WebLogger.csproj,MedStreaming.Analytics,Library,v4.0,0,2,0
MvcDemo,MedStreaming.Analytics\ProtoTypes\MvcDemo\MvcDemo\MvcDemo.csproj,MedStreaming.Analytics,Library,v4.5.2,0,0,0
PatManApp,MedStreaming.Analytics\ProtoTypes\WebMDX\Plugins\PatManApp\PatManApp.csproj,MedStreaming.Analytics,Library,v4.0,1,0,0
PatientApp,MedStreaming.Analytics\ProtoTypes\WebMDX\Plugins\PatientApp\PatientApp.csproj,MedStreaming.Analytics,Library,v4.0,1,0,0
Sample.DataAccess,MedStreaming.Analytics\ProtoTypes\Sample\Sample.DataAccess\Sample.DataAccess.csproj,MedStreaming.Analytics,Library,v4.5.1,2,1,0
Sample.Model,MedStreaming.Analytics\ProtoTypes\Sample\Sample.Model\Sample.Model.csproj,MedStreaming.Analytics,Library,v4.5.1,1,2,0
SpaceArc,MedStreaming.Analytics\ProtoTypes\WebMDX\Templates\Source\SpaceArc\SpaceArc.csproj,MedStreaming.Analytics,Library,v4.5,1,0,0
SpaceArcWizard,MedStreaming.Analytics\ProtoTypes\WebMDX\Templates\SpaceArcwizard\SpaceArcWizard.csproj,MedStreaming.Analytics,Library,v4.0,0,0,0
Test.MedStreaming.Plugin.Arc,MedStreaming.Analytics\ProtoTypes\WebMDX\Test\Test.MedStreaming.Plugin.Arc\Test.MedStreaming.Plugin.Arc.csproj,MedStreaming.Analytics,Library,v4.5.1,1,0,0
